2020,"UB 1610612 3.820 a 2.731 c 83,1 82,8 47 48 101 105"
2020,"UB 1712702 3.899 a 3.534 b 83,0 83,9 46 56 100 108"
2020,"UB 1712703 3.814 a 3.428 b 83,4 83,4 45 53 99 108"
2020,"UB 1712704 3.905 a 3.477 b 83,6 84,0 47 54 101 109"
2020,"UB 1712708 4.245 a 3.422 b 84,1 83,6 46 50 100 105"
2020,"UB 1712710 4.015 a 3.662 a 83,2 83,4 45 56 99 112"
2020,"UB 1712714 4.048 a 3.892 a 83,4 83,0 44 50 97 105"
2020,"UB 1712715 4.089 a 3.349 b 84,0 83,8 47 51 103 106"
2019,"BR 18-Terena 2.220 b 3.497 a 78,4 81,1 80 2 46 49 87 96"
2019,"BRS 264 544 d 2.516 c 76,3 77,9 100 60 40 44 75 81"
2019,"BRS 404 1.279 c 3.360 a 79,5 80,2 100 1 44 48 84 95"
2019,"TBIO Sintonia 835 d 2.488 c 75,9 76,8 40 <1 47 50 90 99"
2019,"TBIO Sossego 1.952 b 2.290 c 75,8 77,4 1 0 50 54 96 107"
2019,"GD 150530 601 d 1.760 d 75,7 79,8 90 10 48 48 91 95"
2019,"GD 150532 1.250 c 2.517 c 78,4 80,4 60 2 44 47 87 93"
2019,"GD 150533 1.219 c 2.521 c 78,2 80,0 70 2 45 47 87 93"
2019,"GD 150565 2.376 b 2.998 a 78,8 81,7 60 <1 48 47 91 93"
2019,"PF 100368 2.034 b 3.032 a 79,2 79,7 100 70 39 45 77 92"
2019,"PF 120054 1.651 b 2.638 b 77,0 79,5 70 25 47 48 89 95"
2019,"PF 120055 2.158 b 2.565 c 79,3 81,3 70 1 46 49 89 97"
2019,"PF 120063 1.131 c 2.567 c 78,2 81,7 100 15 45 48 88 95"
2019,"PF 120337 922 d 2.692 b 76,1 77,5 100 15 44 48 87 95"
2019,"PF 150021 1.117 c 2.718 b 77,6 79,3 30 <1 51 52 96 103"
2019,"PF 150022 689 d 1.823 d 77,7 78,8 100 7 42 49 88 96"
2019,"PF 150023 575 d 1.576 d 75,7 78,4 100 3 44 48 88 95"
2019,"PF 150036 1.287 c 2.930 a 74,7 78,3 30 <1 51 53 96 105"
2019,"PF 150706 1.485 c 2.685 b 78,2 79,7 40 <1 49 52 93 100"
2019,"PF 150736 1.996 b 2.653 b 77,5 78,4 15 0 48 52 95 103"
2019,"PF 150738 2.156 b 2.437 c 76,3 78,7 10 <1 48 52 95 103"
2019,"PF 150739 2.064 b 2.383 c 77,8 78,3 13 0 51 54 98 107"
2019,"PF 150740 2.351 b 2.706 b 80,3 80,9 60 3 44 48 86 95"
2019,"PF 150743 2.400 b 2.981 a 80,0 80,6 40 1 42 47 85 94"
2019,"PF 160267 1.975 b 2.422 c 79,6 79,1 90 70 40 40 75 80"
2019,"PF 161170 1.900 b 2.699 b 78,8 79,8 17 0 49 50 93 99"
2019,"PF 161173 2.137 b 2.352 c 76,9 79,5 14 <1 47 50 91 99"
2019,"PF 161194 885 d 2.429 c 75,5 78,6 40 <1 48 47 91 95"
2019,"PF 161198 2.197 b 2.676 b 81,0 81,3 60 <1 45 48 89 95"
2019,"PF 190005 2.493 b 2.985 a 80,2 81,3 30 <1 46 50 89 99"
2019,"UB 1610101 2.355 b 3.098 a 79,8 81,1 24 <1 48 50 91 98"
2019,"UB 1610104 2.760 a 2.964 a 79,6 79,0 16 0 50 53 96 103"
2019,"UB 1610106 2.847 a 3.102 a 80,2 79,7 8 <1 44 50 87 96"
2019,"UB 1610611 1.228 c 2.538 c 78,1 80,6 60 <1 49 49 93 96"
2019,"UB 1610612 1.371 c 2.039 d 78,2 79,6 60 <1 49 49 93 96"
2018,"BR 18-Terena 2.907 a 2.698 b 84,1 82,3 45 49 93 104"
2018,"BRS 264 1.490 d 2.990 a 77,2 82,1 36 40 79 95"
2018,"BRS 394 2.261 c 2.554 b 81,7 82,1 40 49 85 106"
2018,"BRS 404 2.971 a 2.554 b 84,2 83,1 43 49 91 104"
2018,"CD 151 2.737 b 2.856 a 82,8 82,1 45 52 96 107"
2018,"CD 1104 2.852 a 2.741 b 84,8 84,0 49 55 106 110"
2018,"MGS Brilhante 2.401 b 2.439 b 82,2 82,0 47 54 98 109"
2018,"TBIO Sintonia 2.364 b 2.946 a 82,1 80,5 49 53 100 108"
2018,"TBIO Sossego 2.988 a 2.225 c 81,4 79,2 50 55 111 110"
2018,"CPAC 09208 2.930 a 2.901 a 84,5 83,4 45 49 97 106"
2018,"CPAC 09236 2.798 b 2.475 b 81,7 78,6 47 53 98 108"
2018,"GD 150519 1.885 d 2.060 c 82,6 81,3 47 54 96 109"
2018,"GD 150523 2.071 c 2.720 b 82,2 81,4 36 52 87 107"
2018,"GD 150527 2.393 b 2.184 c 81,2 80,2 45 53 92 106"
2018,"GD 150530 2.890 a 2.821 a 84,3 82,8 40 48 93 102"
2018,"GD 150532 2.882 a 2.787 a 83,8 82,6 45 49 96 106"
2018,"GD 150533 3.070 a 2.463 b 83,8 81,7 44 52 95 107"
2018,"GD 150547 2.101 c 2.350 b 82,3 81,7 45 52 96 107"
2018,"GD 150565 2.654 b 2.500 b 83,8 82,7 45 53 94 106"
2018,"GD 150569 2.399 b 2.436 b 81,9 80,7 49 52 99 107"
2018,"GD 150574 1.813 d 1.870 d 82,0 81,2 39 49 87 106"
2018,"GD 150577 2.468 b 2.065 c 83,1 80,4 43 52 94 107"
2018,"GD 150580 2.501 b 2.726 b 81,6 80,7 47 53 98 106"
