year,sowing_date,cultivar,planting_period,rep,heading_days,harvest_date,inc,dhs,tgw,ph,yield,heading_date
2017,2017-04-17 00:00:00 UTC,BRS264,8,4,45,97,0,0,41.55,82.78,2689.35,2017-06-01 00:00:00 UTC
2017,2017-04-17 00:00:00 UTC,BRS 404,8,4,55,104,0,0,42.65,81.35,2897.21,2017-06-11 00:00:00 UTC
2018,2018-04-16 00:00:00 UTC,BRILHANTE,8,4,55,94,1,60,38.99,78.3,2035,2018-06-10 00:00:00 UTC
2018,2018-04-16 00:00:00 UTC,BRS264,8,4,46,87,0,0,39.56,82.6,2468,2018-06-01 00:00:00 UTC
2018,2018-04-16 00:00:00 UTC,BRS 404,8,4,53,94,0,0,40.94,81.3,2554,2018-06-08 00:00:00 UTC
2019,2019-04-12 00:00:00 UTC,SINTONIA,8,4,55,94,86,90,14.35,70.8,201.38,2019-06-06 00:00:00 UTC
2019,2019-04-12 00:00:00 UTC,BRS264,8,4,46,87,51,65,24.35,75.8,322.46,2019-05-28 00:00:00 UTC
2019,2019-04-12 00:00:00 UTC,BRS 404,8,4,53,94,47,55,27.98,74.6,358.33,2019-06-04 00:00:00 UTC
2013,2013-04-15 00:00:00 UTC,BRS264,9,1,45,96,42,70,26.5503,71,1637,2013-05-30 00:00:00 UTC
2013,2013-04-15 00:00:00 UTC,BRILHANTE,9,1,51,102,4,40,38.5523,80.4,2297,2013-06-05 00:00:00 UTC
2014,2014-04-21 00:00:00 UTC,BRS264,9,1,46,92,4,45,37.8,82.352,2354,2014-06-06 00:00:00 UTC
2014,2014-04-21 00:00:00 UTC,BRILHANTE,9,1,51,106,3,50,41.8,83.256,2985,2014-06-11 00:00:00 UTC
2014,2014-04-21 00:00:00 UTC,PF080492,9,1,51,106,1,30,40.2,81.938,2250.4,2014-06-11 00:00:00 UTC
2015,2015-04-24 00:00:00 UTC,BRS264,9,1,46,92,7,35,38.9,81.4,3357,2015-06-09 00:00:00 UTC
2015,2015-04-24 00:00:00 UTC,BRS 404,9,1,50,102,1,50,36.8,78.9,3267,2015-06-13 00:00:00 UTC
2015,2015-04-24 00:00:00 UTC,BRILHANTE,9,1,57,106,0,0,36.4,78.2,2897,2015-06-20 00:00:00 UTC
2016,2016-04-22 00:00:00 UTC,BRS264,9,1,45,93,2,20,40.8,78.4,3653,2016-06-06 00:00:00 UTC
2016,2016-04-22 00:00:00 UTC,BRILHANTE,9,1,56,105,1,50,38.88,77.8,3247,2016-06-17 00:00:00 UTC
2016,2016-04-22 00:00:00 UTC,BRS 404,9,1,52,104,0,0,41.16,79.3,3895,2016-06-13 00:00:00 UTC
2017,2017-04-24 00:00:00 UTC,BRILHANTE,9,1,58,107,0,0,38.69,78.68,2788.35,2017-06-21 00:00:00 UTC
2017,2017-04-24 00:00:00 UTC,BRS264,9,1,48,97,0,0,41.23,82.41,2981.13,2017-06-11 00:00:00 UTC
2017,2017-04-24 00:00:00 UTC,BRS 404,9,1,56,105,0,0,38.35,81.66,2897.65,2017-06-19 00:00:00 UTC
2018,2018-04-23 00:00:00 UTC,BRS264,9,1,46,92,4,40,41.06,80.4,2652,2018-06-08 00:00:00 UTC
2018,2018-04-23 00:00:00 UTC,BRILHANTE,9,1,57,98,1,40,39.45,81.3,2135,2018-06-19 00:00:00 UTC
2018,2018-04-23 00:00:00 UTC,BRS 404,9,1,55,98,0,0,40.56,82.5,2741,2018-06-17 00:00:00 UTC
2019,2019-04-19 00:00:00 UTC,SINTONIA,9,1,57,98,78,65,21.32,73.5,256.65,2019-06-15 00:00:00 UTC
2019,2019-04-19 00:00:00 UTC,BRS264,9,1,46,92,65,80,24.93,76.2,232.09,2019-06-04 00:00:00 UTC
2019,2019-04-19 00:00:00 UTC,BRS 404,9,1,55,98,39,50,27.25,74.6,426.45,2019-06-13 00:00:00 UTC
2013,2013-04-15 00:00:00 UTC,BRS264,9,2,45,96,32,65,30.6884,72.1,1798,2013-05-30 00:00:00 UTC
2013,2013-04-15 00:00:00 UTC,BRILHANTE,9,2,51,102,7,45,38.2988,80.4,1941,2013-06-05 00:00:00 UTC
2014,2014-04-21 00:00:00 UTC,BRS264,9,2,46,92,5,40,41.3,81.868,2606,2014-06-06 00:00:00 UTC
2014,2014-04-21 00:00:00 UTC,PF080492,9,2,51,106,2,50,38.6,84.444,2133,2014-06-11 00:00:00 UTC
2014,2014-04-21 00:00:00 UTC,BRILHANTE,9,2,51,106,0,0,38.6,82.182,2698,2014-06-11 00:00:00 UTC
2015,2015-04-24 00:00:00 UTC,BRS264,9,2,46,92,5,65,38,80.2,3564,2015-06-09 00:00:00 UTC
2015,2015-04-24 00:00:00 UTC,BRILHANTE,9,2,57,106,0,0,37,78.3,3015,2015-06-20 00:00:00 UTC
2015,2015-04-24 00:00:00 UTC,BRS 404,9,2,50,102,0,0,36.7,77.2,3557,2015-06-13 00:00:00 UTC
2016,2016-04-22 00:00:00 UTC,BRS 404,9,2,52,104,1,10,39.58,81.2,3550,2016-06-13 00:00:00 UTC
2016,2016-04-22 00:00:00 UTC,BRILHANTE,9,2,56,105,0,0,40.16,80.9,2165,2016-06-17 00:00:00 UTC
2016,2016-04-22 00:00:00 UTC,BRS264,9,2,45,93,0,0,41.25,82.5,3240,2016-06-06 00:00:00 UTC
2017,2017-04-24 00:00:00 UTC,BRILHANTE,9,2,58,107,1,10,39.65,79.52,2668.35,2017-06-21 00:00:00 UTC
2017,2017-04-24 00:00:00 UTC,BRS264,9,2,48,97,0,0,42.35,80.87,2964.35,2017-06-11 00:00:00 UTC
2017,2017-04-24 00:00:00 UTC,BRS 404,9,2,56,105,0,0,39.46,80.38,3125.65,2017-06-19 00:00:00 UTC
2018,2018-04-23 00:00:00 UTC,BRILHANTE,9,2,57,98,0,0,38.56,80.8,2231,2018-06-19 00:00:00 UTC
2018,2018-04-23 00:00:00 UTC,BRS264,9,2,46,92,0,0,39.45,82.6,2784,2018-06-08 00:00:00 UTC
2018,2018-04-23 00:00:00 UTC,BRS 404,9,2,55,98,0,0,41.79,79.5,2553,2018-06-17 00:00:00 UTC
2019,2019-04-19 00:00:00 UTC,SINTONIA,9,2,57,98,70,75,25.44,72.5,258.45,2019-06-15 00:00:00 UTC
2019,2019-04-19 00:00:00 UTC,BRS 404,9,2,55,98,48,55,28.34,76.3,395.11,2019-06-13 00:00:00 UTC
2019,2019-04-19 00:00:00 UTC,BRS264,9,2,46,92,40,65,23.54,74.3,439.05,2019-06-04 00:00:00 UTC
2013,2013-04-15 00:00:00 UTC,BRS264,9,3,45,96,39,55,29.5538,70.4,1504,2013-05-30 00:00:00 UTC
2013,2013-04-15 00:00:00 UTC,BRILHANTE,9,3,51,102,5,35,41.5899,80.9,2363,2013-06-05 00:00:00 UTC
2014,2014-04-21 00:00:00 UTC,BRS264,9,3,46,92,3,60,40.2,82.138,2385,2014-06-06 00:00:00 UTC
2014,2014-04-21 00:00:00 UTC,BRILHANTE,9,3,51,106,2,35,40.2,82.47,2445,2014-06-11 00:00:00 UTC
2014,2014-04-21 00:00:00 UTC,PF080492,9,3,51,106,0,0,39.8,81.398,2187,2014-06-11 00:00:00 UTC
2015,2015-04-24 00:00:00 UTC,BRS264,9,3,46,92,4,40,37.5,79.5,3666,2015-06-09 00:00:00 UTC
2015,2015-04-24 00:00:00 UTC,BRILHANTE,9,3,57,106,2,50,36,77.5,3468.3,2015-06-20 00:00:00 UTC
2015,2015-04-24 00:00:00 UTC,BRS 404,9,3,50,102,2,50,38.5,80.8,3564,2015-06-13 00:00:00 UTC
2016,2016-04-22 00:00:00 UTC,BRS264,9,3,45,93,1,80,39.56,84.9,3742,2016-06-06 00:00:00 UTC
2016,2016-04-22 00:00:00 UTC,BRILHANTE,9,3,56,105,0,0,38.56,82.31,3547,2016-06-17 00:00:00 UTC
2016,2016-04-22 00:00:00 UTC,BRS 404,9,3,52,104,0,0,38.67,82.3,3741,2016-06-13 00:00:00 UTC
2017,2017-04-24 00:00:00 UTC,BRS264,9,3,48,97,1,30,41.86,78.68,2883.64,2017-06-11 00:00:00 UTC
2017,2017-04-24 00:00:00 UTC,BRILHANTE,9,3,58,107,0,0,39.46,80.35,2875.03,2017-06-21 00:00:00 UTC
2017,2017-04-24 00:00:00 UTC,BRS 404,9,3,56,105,0,0,39.12,79.65,3225.34,2017-06-19 00:00:00 UTC
2018,2018-04-23 00:00:00 UTC,BRILHANTE,9,3,57,98,2,30,38.34,78.9,1980,2018-06-19 00:00:00 UTC
2018,2018-04-23 00:00:00 UTC,BRS264,9,3,46,92,0,0,38.68,81.3,2556,2018-06-08 00:00:00 UTC
2018,2018-04-23 00:00:00 UTC,BRS 404,9,3,55,98,0,0,39.55,81.5,2546,2018-06-17 00:00:00 UTC
2019,2019-04-19 00:00:00 UTC,SINTONIA,9,3,57,98,82,75,18.25,74.3,209.54,2019-06-15 00:00:00 UTC
2019,2019-04-19 00:00:00 UTC,BRS264,9,3,46,92,56,70,22.04,74.9,396,2019-06-04 00:00:00 UTC
2019,2019-04-19 00:00:00 UTC,BRS 404,9,3,55,98,38,60,24.87,75.2,452.11,2019-06-13 00:00:00 UTC
2013,2013-04-15 00:00:00 UTC,BRS264,9,4,45,96,34,45,27.3989,69.2,1261,2013-05-30 00:00:00 UTC
2013,2013-04-15 00:00:00 UTC,BRILHANTE,9,4,51,102,6,55,40.0984,81.1,2089,2013-06-05 00:00:00 UTC
2014,2014-04-21 00:00:00 UTC,BRS264,9,4,46,92,4,40,39.8,81.066,2628,2014-06-06 00:00:00 UTC
2014,2014-04-21 00:00:00 UTC,BRILHANTE,9,4,51,106,1,80,38.4,82.164,2157,2014-06-11 00:00:00 UTC
2014,2014-04-21 00:00:00 UTC,PF080492,9,4,51,106,0,0,41.6,81.654,2365,2014-06-11 00:00:00 UTC
2015,2015-04-24 00:00:00 UTC,BRS264,9,4,46,92,10,35,36.8,77.3,3010,2015-06-09 00:00:00 UTC
2015,2015-04-24 00:00:00 UTC,BRILHANTE,9,4,57,106,3,70,37.2,80.1,2789,2015-06-20 00:00:00 UTC
2015,2015-04-24 00:00:00 UTC,BRS 404,9,4,50,102,0,0,36.1,78.3,3265,2015-06-13 00:00:00 UTC
2016,2016-04-22 00:00:00 UTC,BRS264,9,4,45,93,1,60,41.27,82.4,3652,2016-06-06 00:00:00 UTC
2016,2016-04-22 00:00:00 UTC,BRILHANTE,9,4,56,105,0,0,41.09,78.6,3228,2016-06-17 00:00:00 UTC
2016,2016-04-22 00:00:00 UTC,BRS 404,9,4,52,104,0,0,39.76,82.5,3457,2016-06-13 00:00:00 UTC
2017,2017-04-24 00:00:00 UTC,BRILHANTE,9,4,58,107,0,0,38.77,81.79,2550.35,2017-06-21 00:00:00 UTC
2017,2017-04-24 00:00:00 UTC,BRS264,9,4,48,97,0,0,42.32,82.34,3125.32,2017-06-11 00:00:00 UTC
2017,2017-04-24 00:00:00 UTC,BRS 404,9,4,56,105,0,0,41.07,78.89,2883.45,2017-06-19 00:00:00 UTC
2018,2018-04-23 00:00:00 UTC,BRS264,9,4,46,92,1,50,42.31,80.6,2600,2018-06-08 00:00:00 UTC
2018,2018-04-23 00:00:00 UTC,BRS 404,9,4,55,98,1,50,41.85,81.4,2654,2018-06-17 00:00:00 UTC
2018,2018-04-23 00:00:00 UTC,BRILHANTE,9,4,57,98,0,0,39.22,79.8,2110,2018-06-19 00:00:00 UTC
2019,2019-04-19 00:00:00 UTC,SINTONIA,9,4,57,98,84,70,21.98,72.8,274.32,2019-06-15 00:00:00 UTC
2019,2019-04-19 00:00:00 UTC,BRS 404,9,4,55,98,65,55,23.65,75.3,386.25,2019-06-13 00:00:00 UTC
2019,2019-04-19 00:00:00 UTC,BRS264,9,4,46,92,45,65,25.33,72.8,399.93,2019-06-04 00:00:00 UTC
2013,2013-04-22 00:00:00 UTC,BRS264,10,1,45,96,12,45,30.5887,77.3,1597,2013-06-06 00:00:00 UTC
2013,2013-04-22 00:00:00 UTC,BRILHANTE,10,1,51,103,3,60,39.8094,79.2,1999,2013-06-12 00:00:00 UTC
2014,2014-04-28 00:00:00 UTC,BRS264,10,1,46,92,5,60,40.3,80.26956522,3317.733333,2014-06-13 00:00:00 UTC
2014,2014-04-28 00:00:00 UTC,BRILHANTE,10,1,53,106,2,45,41.8,83.504,3076.733333,2014-06-20 00:00:00 UTC
2014,2014-04-28 00:00:00 UTC,PF080492,10,1,53,106,1,40,39.4,83.804,2828,2014-06-20 00:00:00 UTC
2015,2015-05-01 00:00:00 UTC,BRS264,10,1,46,92,3,40,37.6,79.6,3426,2015-06-16 00:00:00 UTC
2015,2015-05-01 00:00:00 UTC,BRS 404,10,1,50,102,3,35,37.2,78.3,3456,2015-06-20 00:00:00 UTC
2015,2015-05-01 00:00:00 UTC,BRILHANTE,10,1,56,106,0,0,36.7,77.9,3216,2015-06-26 00:00:00 UTC
2016,2016-04-29 00:00:00 UTC,BRILHANTE,10,1,55,106,0,0,39.51,79.4,2865,2016-06-23 00:00:00 UTC
2016,2016-04-29 00:00:00 UTC,BRS264,10,1,46,94,0,0,38.62,78.9,3541,2016-06-14 00:00:00 UTC
2016,2016-04-29 00:00:00 UTC,BRS 404,10,1,51,105,0,0,39.71,78.5,3458,2016-06-19 00:00:00 UTC
2017,2017-04-24 00:00:00 UTC,BRILHANTE,10,1,59,105,0,0,41.38,80.32,2589.62,2017-06-22 00:00:00 UTC
2017,2017-05-02 00:00:00 UTC,BRS264,10,1,48,95,0,0,41.35,80.12,2967.86,2017-06-19 00:00:00 UTC
2017,2017-05-02 00:00:00 UTC,BRS 404,10,1,57,105,0,0,40.25,80.35,3088.65,2017-06-28 00:00:00 UTC
2018,2018-04-30 00:00:00 UTC,BRILHANTE,10,1,58,102,1,60,40.21,80.7,1879,2018-06-27 00:00:00 UTC
2018,2018-04-30 00:00:00 UTC,BRS264,10,1,46,93,1,20,42.86,80.6,2756,2018-06-15 00:00:00 UTC
2018,2018-04-30 00:00:00 UTC,BRS 404,10,1,56,101,0,0,40.55,81.7,2875,2018-06-25 00:00:00 UTC
2019,2019-04-26 00:00:00 UTC,SINTONIA,10,1,58,102,38,50,24.1,74.2,573.63,2019-06-23 00:00:00 UTC
2019,2019-04-26 00:00:00 UTC,BRS264,10,1,46,93,35,50,25.94,76.3,527.6,2019-06-11 00:00:00 UTC
2019,2019-04-26 00:00:00 UTC,BRS 404,10,1,56,101,28,60,31.26,78.2,695.55,2019-06-21 00:00:00 UTC
2013,2013-04-22 00:00:00 UTC,BRS264,10,2,45,96,41,50,34.2598,73.9,1779,2013-06-06 00:00:00 UTC
2013,2013-04-22 00:00:00 UTC,BRILHANTE,10,2,51,103,1,10,41.8037,74.8,2014,2013-06-12 00:00:00 UTC
2014,2014-04-28 00:00:00 UTC,BRS264,10,2,46,92,4,70,41.3,80.722,3205,2014-06-13 00:00:00 UTC
2014,2014-04-28 00:00:00 UTC,BRILHANTE,10,2,53,106,0,0,40.5,82.116,3181.066667,2014-06-20 00:00:00 UTC
2014,2014-04-28 00:00:00 UTC,PF080492,10,2,53,106,0,0,38.6,82.574,2595.066667,2014-06-20 00:00:00 UTC
2015,2015-05-01 00:00:00 UTC,BRS 404,10,2,50,102,3,40,36.7,78.2,3687,2015-06-20 00:00:00 UTC
2015,2015-05-01 00:00:00 UTC,BRILHANTE,10,2,56,106,2,35,37.1,78.3,3368,2015-06-26 00:00:00 UTC
2015,2015-05-01 00:00:00 UTC,BRS264,10,2,46,92,1,60,36.9,78.2,3428,2015-06-16 00:00:00 UTC
2016,2016-04-29 00:00:00 UTC,BRILHANTE,10,2,55,106,0,0,40.21,78.6,3065,2016-06-23 00:00:00 UTC
2016,2016-04-29 00:00:00 UTC,BRS264,10,2,46,94,0,0,39.41,80.3,2998,2016-06-14 00:00:00 UTC
2016,2016-04-29 00:00:00 UTC,BRS 404,10,2,51,105,0,0,41.18,79.6,3546,2016-06-19 00:00:00 UTC
2017,2017-05-02 00:00:00 UTC,BRS264,10,2,48,95,1,1,42.54,81.36,3225.64,2017-06-19 00:00:00 UTC
2017,2017-05-02 00:00:00 UTC,BRILHANTE,10,2,59,105,0,0,42.65,78.49,2875.65,2017-06-30 00:00:00 UTC
2017,2017-05-02 00:00:00 UTC,BRS 404,10,2,57,105,0,0,42.45,81.25,2999.87,2017-06-28 00:00:00 UTC
2018,2018-04-30 00:00:00 UTC,BRILHANTE,10,2,58,102,0,0,38.33,79.1,2325,2018-06-27 00:00:00 UTC
2018,2018-04-30 00:00:00 UTC,BRS264,10,2,46,93,0,0,41.5,84.1,2668,2018-06-15 00:00:00 UTC
2018,2018-04-30 00:00:00 UTC,BRS 404,10,2,56,101,0,0,41.63,82,2658,2018-06-25 00:00:00 UTC
2019,2019-04-26 00:00:00 UTC,SINTONIA,10,2,58,102,35,60,27.86,76.2,527.38,2019-06-23 00:00:00 UTC
2019,2019-04-26 00:00:00 UTC,BRS264,10,2,46,93,32,65,27.86,75.3,661.41,2019-06-11 00:00:00 UTC
2019,2019-04-26 00:00:00 UTC,BRS 404,10,2,56,101,31,65,28.02,75.6,670.98,2019-06-21 00:00:00 UTC
2013,2013-04-22 00:00:00 UTC,BRS264,10,3,45,96,22,55,34.705,76.1,1671,2013-06-06 00:00:00 UTC
2013,2013-04-22 00:00:00 UTC,BRILHANTE,10,3,51,103,2,40,41.7055,76.8,2145,2013-06-12 00:00:00 UTC
2014,2014-04-28 00:00:00 UTC,BRS264,10,3,46,92,4,60,40.2,83.27142857,3241,2014-06-13 00:00:00 UTC
2014,2014-04-28 00:00:00 UTC,BRILHANTE,10,3,53,106,2,55,38.6,83.482,3189.066667,2014-06-20 00:00:00 UTC
2014,2014-04-28 00:00:00 UTC,PF080492,10,3,53,106,1,30,39.8,81.538,2284.066667,2014-06-20 00:00:00 UTC
2015,2015-05-01 00:00:00 UTC,BRS264,10,3,46,92,5,45,37.2,77.6,3148,2015-06-16 00:00:00 UTC
2015,2015-05-01 00:00:00 UTC,BRILHANTE,10,3,56,106,3,50,36.1,78.5,3089.5,2015-06-26 00:00:00 UTC
2015,2015-05-01 00:00:00 UTC,BRS 404,10,3,50,102,1,40,36.9,75.3,3335,2015-06-20 00:00:00 UTC
2016,2016-04-29 00:00:00 UTC,BRS264,10,3,46,94,3,40,40.33,79.6,3451,2016-06-14 00:00:00 UTC
2016,2016-04-29 00:00:00 UTC,BRILHANTE,10,3,55,106,1,10,40.62,81.5,3121,2016-06-23 00:00:00 UTC
2016,2016-04-29 00:00:00 UTC,BRS 404,10,3,51,105,0,0,38.63,81.2,3058,2016-06-19 00:00:00 UTC
2017,2017-05-02 00:00:00 UTC,BRILHANTE,10,3,59,105,0,0,41.77,78.35,2468.35,2017-06-30 00:00:00 UTC
2017,2017-05-02 00:00:00 UTC,BRS264,10,3,48,95,0,0,42.62,82.46,3044.68,2017-06-19 00:00:00 UTC
2017,2017-05-02 00:00:00 UTC,BRS 404,10,3,57,105,0,0,40.39,78.68,2896.87,2017-06-28 00:00:00 UTC
2018,2018-04-30 00:00:00 UTC,BRS264,10,3,46,93,1,30,41.35,82.3,2702,2018-06-15 00:00:00 UTC
2018,2018-04-30 00:00:00 UTC,BRILHANTE,10,3,58,102,0,0,38.25,80.6,2156,2018-06-27 00:00:00 UTC
2018,2018-04-30 00:00:00 UTC,BRS 404,10,3,56,101,0,0,42.38,82.9,2860,2018-06-25 00:00:00 UTC
2019,2019-04-26 00:00:00 UTC,BRS264,10,3,46,93,37,70,29.23,76.9,603.95,2019-06-11 00:00:00 UTC
2019,2019-04-26 00:00:00 UTC,BRS 404,10,3,56,101,35,55,30.22,76,523.53,2019-06-21 00:00:00 UTC
2019,2019-04-26 00:00:00 UTC,SINTONIA,10,3,58,102,30,55,28.66,73.8,623.55,2019-06-23 00:00:00 UTC
2013,2013-04-22 00:00:00 UTC,BRS264,10,4,45,96,24,45,30.958,76.5,1874,2013-06-06 00:00:00 UTC
2013,2013-04-22 00:00:00 UTC,BRILHANTE,10,4,51,103,2,65,38.3384,77.8,2062,2013-06-12 00:00:00 UTC
2014,2014-04-28 00:00:00 UTC,BRS264,10,4,46,92,3,50,39.3,80.2,3621,2014-06-13 00:00:00 UTC
2014,2014-04-28 00:00:00 UTC,PF080492,10,4,53,106,2,45,40.5,83.74,2749.733333,2014-06-20 00:00:00 UTC
2014,2014-04-28 00:00:00 UTC,BRILHANTE,10,4,53,106,1,90,39.8,82.064,2706.4,2014-06-20 00:00:00 UTC
2015,2015-05-01 00:00:00 UTC,BRS264,10,4,46,92,3,40,38.9,81.3,3554,2015-06-16 00:00:00 UTC
2015,2015-05-01 00:00:00 UTC,BRILHANTE,10,4,56,106,2,35,38.9,80.3,3257.2,2015-06-26 00:00:00 UTC
2015,2015-05-01 00:00:00 UTC,BRS 404,10,4,50,102,1,50,38.2,81.8,3524,2015-06-20 00:00:00 UTC
2016,2016-04-29 00:00:00 UTC,BRS 404,10,4,51,105,1,50,50.24,81.5,3557,2016-06-19 00:00:00 UTC
2016,2016-04-29 00:00:00 UTC,BRILHANTE,10,4,55,106,0,0,39.58,80.7,2784,2016-06-23 00:00:00 UTC
2016,2016-04-29 00:00:00 UTC,BRS264,10,4,46,94,0,0,38.62,81.5,3266,2016-06-14 00:00:00 UTC
2017,2017-05-02 00:00:00 UTC,BRILHANTE,10,4,59,105,0,0,40.6,80.58,2987.35,2017-06-30 00:00:00 UTC
2017,2017-05-02 00:00:00 UTC,BRS264,10,4,48,95,0,0,41.75,81.21,3127.47,2017-06-19 00:00:00 UTC
2017,2017-05-02 00:00:00 UTC,BRS 404,10,4,57,105,0,0,38.94,82.92,3225.68,2017-06-28 00:00:00 UTC
2018,2018-04-30 00:00:00 UTC,BRILHANTE,10,4,58,102,0,0,40.32,78.3,2435,2018-06-27 00:00:00 UTC
2018,2018-04-30 00:00:00 UTC,BRS264,10,4,46,93,0,0,40.52,81,2699,2018-06-15 00:00:00 UTC
2018,2018-04-30 00:00:00 UTC,BRS 404,10,4,56,101,0,0,40.52,81.3,2483,2018-06-25 00:00:00 UTC
2019,2019-04-26 00:00:00 UTC,SINTONIA,10,4,58,102,32,70,24.82,74.3,598.33,2019-06-23 00:00:00 UTC
2019,2019-04-26 00:00:00 UTC,BRS 404,10,4,56,101,32,50,28.94,76.2,645.7,2019-06-21 00:00:00 UTC
2019,2019-04-26 00:00:00 UTC,BRS264,10,4,46,93,30,55,25.16,75.3,468.17,2019-06-11 00:00:00 UTC
2013,2013-04-29 00:00:00 UTC,BRS264,11,1,45,96,4,35,36.5899,80.7,2536,2013-06-13 00:00:00 UTC
2013,2013-04-29 00:00:00 UTC,BRILHANTE,11,1,53,103,1,90,39.887,79.3,2181,2013-06-21 00:00:00 UTC
2014,2014-05-05 00:00:00 UTC,BRS264,11,1,46,92,1,60,41.3,80.782,3689.4,2014-06-20 00:00:00 UTC
2014,2014-05-05 00:00:00 UTC,BRILHANTE,11,1,55,106,0,0,41.3,85.206,2252.066667,2014-06-29 00:00:00 UTC
2014,2014-05-05 00:00:00 UTC,PF080492,11,1,55,106,0,0,39.2,85.084,2358,2014-06-29 00:00:00 UTC
2015,2015-05-08 00:00:00 UTC,BRILHANTE,11,1,56,106,0,0,38.6,82.3,3666,2015-07-03 00:00:00 UTC
2015,2015-05-08 00:00:00 UTC,BRS264,11,1,46,95,0,0,36.7,78.6,3998,2015-06-23 00:00:00 UTC
2015,2015-05-08 00:00:00 UTC,BRS 404,11,1,50,102,0,0,37,80.2,3054,2015-06-27 00:00:00 UTC
2016,2016-05-06 00:00:00 UTC,BRILHANTE,11,1,55,107,1,20,39.62,78.5,2587,2016-06-30 00:00:00 UTC
2016,2016-05-06 00:00:00 UTC,BRS264,11,1,46,96,1,70,41.32,79.6,2974,2016-06-21 00:00:00 UTC
2016,2016-05-06 00:00:00 UTC,BRS 404,11,1,52,104,0,0,41.32,78.6,3147,2016-06-27 00:00:00 UTC
2017,2017-05-08 00:00:00 UTC,BRILHANTE,11,1,59,106,0,0,38.53,80.45,2887.6,2017-07-06 00:00:00 UTC
2017,2017-05-08 00:00:00 UTC,BRS264,11,1,50,95,0,0,41.64,81.25,3125.8,2017-06-27 00:00:00 UTC
2017,2017-05-08 00:00:00 UTC,BRS 404,11,1,58,104,0,0,39.58,83.45,3258.65,2017-07-05 00:00:00 UTC
2018,2018-05-07 00:00:00 UTC,BRILHANTE,11,1,58,105,0,0,41.3,79.4,1965,2018-07-04 00:00:00 UTC
2018,2018-05-07 00:00:00 UTC,BRS264,11,1,45,95,0,0,40.47,80.5,2746,2018-06-21 00:00:00 UTC
2018,2018-05-07 00:00:00 UTC,BRS 404,11,1,56,103,0,0,41.46,80.8,2863,2018-07-02 00:00:00 UTC
2019,2019-05-03 00:00:00 UTC,BRS264,11,1,45,95,28,65,32.34,77.8,891.14,2019-06-17 00:00:00 UTC
2019,2019-05-03 00:00:00 UTC,SINTONIA,11,1,58,105,22,60,31.58,76.5,800.93,2019-06-30 00:00:00 UTC
2019,2019-05-03 00:00:00 UTC,BRS 404,11,1,56,103,12,55,38.25,75.3,1084.48,2019-06-28 00:00:00 UTC
2013,2013-04-29 00:00:00 UTC,BRS264,11,2,45,96,3,50,36.5036,79.6,2114,2013-06-13 00:00:00 UTC
2013,2013-04-29 00:00:00 UTC,BRILHANTE,11,2,53,103,1,80,39.5604,78,1734,2013-06-21 00:00:00 UTC
2014,2014-05-05 00:00:00 UTC,BRS264,11,2,46,92,1,10,40.2,83.6,3577.4,2014-06-20 00:00:00 UTC
2014,2014-05-05 00:00:00 UTC,BRILHANTE,11,2,55,106,0,0,40.2,84.416,2230.090909,2014-06-29 00:00:00 UTC
2014,2014-05-05 00:00:00 UTC,PF080492,11,2,55,106,0,0,38.7,84.426,2665.733333,2014-06-29 00:00:00 UTC
2015,2015-05-08 00:00:00 UTC,BRS264,11,2,46,95,2,60,36.8,77.3,3687,2015-06-23 00:00:00 UTC
2015,2015-05-08 00:00:00 UTC,BRS 404,11,2,50,102,1,20,38,82.6,3412,2015-06-27 00:00:00 UTC
2015,2015-05-08 00:00:00 UTC,BRILHANTE,11,2,56,106,0,0,37.2,73.4,3088.7,2015-07-03 00:00:00 UTC
2016,2016-05-06 00:00:00 UTC,BRILHANTE,11,2,55,107,0,0,38.65,78.6,2658,2016-06-30 00:00:00 UTC
2016,2016-05-06 00:00:00 UTC,BRS264,11,2,46,96,0,0,39.7,80.5,3005,2016-06-21 00:00:00 UTC
2016,2016-05-06 00:00:00 UTC,BRS 404,11,2,52,104,0,0,40.48,83.1,2889,2016-06-27 00:00:00 UTC
2017,2017-05-08 00:00:00 UTC,BRILHANTE,11,2,59,106,0,0,38.66,78.65,2987,2017-07-06 00:00:00 UTC
2017,2017-05-08 00:00:00 UTC,BRS264,11,2,50,95,0,0,40.87,82.84,3265.46,2017-06-27 00:00:00 UTC
2017,2017-05-08 00:00:00 UTC,BRS 404,11,2,58,104,0,0,38.67,80.24,3089.35,2017-07-05 00:00:00 UTC
2018,2018-05-07 00:00:00 UTC,BRS264,11,2,45,95,1,10,41.38,79.8,2882,2018-06-21 00:00:00 UTC
2018,2018-05-07 00:00:00 UTC,BRILHANTE,11,2,58,105,0,0,38.41,78.2,2224,2018-07-04 00:00:00 UTC
2018,2018-05-07 00:00:00 UTC,BRS 404,11,2,56,103,0,0,40.85,83.2,2553,2018-07-02 00:00:00 UTC
2019,2019-05-03 00:00:00 UTC,SINTONIA,11,2,58,105,25,65,34.33,77.3,759.44,2019-06-30 00:00:00 UTC
2019,2019-05-03 00:00:00 UTC,BRS264,11,2,45,95,23,50,31.12,78,829.03,2019-06-17 00:00:00 UTC
2019,2019-05-03 00:00:00 UTC,BRS 404,11,2,56,103,10,60,39.33,77.8,1063.09,2019-06-28 00:00:00 UTC
